"stmin.1.length.stmin....1.","IBIl"
0.28125,1.265625
1.546875,0.8125
2.359375,1.21875
3.578125,0.640625
4.21875,0.34375
4.5625,0.390625
4.953125,0.46875
5.421875,0.28125
5.703125,0.25
5.953125,0.375
6.328125,0.9375
7.78125,1.171875
8.953125,0.203125
9.15625,0.390625
9.546875,1.28125
10.828125,0.921875
11.75,0.203125
11.953125,0.96875
12.921875,0.359375
13.28125,0.5625
13.84375,0.3125
14.15625,0.9375
15.640625,0.578125
16.21875,0.5625
16.78125,0.9375
17.71875,1.21875
18.9375,0.5
19.4375,0.484375
19.921875,1.09375
21.015625,0.453125
21.46875,0.453125
21.921875,0.796875
22.71875,0.484375
23.203125,0.28125
23.484375,0.734375
24.21875,0.375
24.59375,0.953125
25.546875,0.953125
26.5,0.890625
27.390625,0.953125
28.34375,0.65625
29,0.84375
29.84375,0.859375
30.703125,0.921875
31.625,0.921875
32.546875,0.90625
33.453125,0.9375
34.390625,0.90625
35.296875,0.734375
36.03125,0.546875
36.578125,0.609375
37.1875,0.6875
37.875,0.71875
64.84375,0.765625
65.609375,0.8125
66.421875,0.765625
67.1875,0.71875
67.90625,0.75
68.65625,0.75
69.40625,0.796875
70.203125,0.828125
78.03125,0.8125
78.84375,0.8125
105.65625,0.6875
122.265625,0.921875
123.1875,0.859375
124.046875,0.84375
124.890625,0.453125
125.34375,0.796875
133.140625,0.96875
134.109375,0.953125
135.0625,0.625
135.6875,0.3125
136,0.796875
136.796875,0.9375
137.734375,0.9375
154.671875,0.890625
155.5625,1
156.5625,0.921875
157.484375,0.578125
164.0625,0.234375
164.296875,0.40625
175.703125,0.734375
176.4375,0.796875
177.234375,0.828125
178.0625,0.828125
178.890625,0.875
179.765625,0.90625
180.671875,0.96875
181.640625,0.953125
182.59375,0.9375
183.53125,0.9375
190.46875,0.921875
202.390625,0.9375
203.328125,0.9375
204.265625,0.90625
205.171875,0.859375
206.03125,0.890625
206.921875,0.859375
207.78125,0.859375
208.640625,0.8125
209.453125,0.90625
210.359375,0.921875
211.28125,1.3125
212.59375,0.71875
213.3125,0.703125
214.015625,0.703125
214.71875,0.75
215.46875,0.96875
216.4375,0.59375
217.03125,0.296875
217.328125,0.859375
218.1875,0.84375
219.03125,0.90625
219.9375,0.96875
220.90625,1
233.90625,0.984375
234.890625,1
235.890625,0.96875
241.859375,0.90625
242.765625,0.8125
243.578125,0.78125
244.359375,0.78125
245.140625,0.90625
246.046875,0.96875
247.015625,1.046875
248.0625,0.859375
248.921875,0.859375
249.78125,0.921875
250.703125,0.484375
251.1875,0.90625
252.09375,0.96875
253.0625,0.9375
254,0.953125
254.953125,0.921875
255.875,0.890625
256.765625,0.796875
257.5625,0.75
258.3125,0.734375
267.046875,0.890625
267.9375,0.96875
273.90625,0.96875
274.875,0.953125
275.828125,0.953125
276.78125,0.6875
277.46875,1.109375
278.578125,0.3125
278.890625,0.78125
279.671875,0.515625
280.1875,0.4375
280.625,0.59375
281.21875,0.625
281.84375,0.265625
282.109375,0.78125
282.890625,0.8125
283.703125,0.9375
285.21875,0.46875
285.6875,0.75
286.4375,0.515625
